index,buyer,year,place,address,N,E,yearStr
0,"George Guy Greville, 4th earl of Warwick, 4th earl Brooke, 1818 - 1893 (Warwick Castle, England) [sold, George Guy Sale, Christie's, London, May 21, 1896, lot 336.]",1896,Warwick,Warwick; RI; USA,52.2797336195729,-1.58468083074239,1896
1,"George Guy Greville, 4th earl of Warwick, 4th earl Brooke, 1818 - 1893 (Warwick Castle, England) [sold, George Guy Sale, Christie's, London, May 21, 1896, lot 336.]",1896,London,London; UK,51.5073509,-0.1277583,1896
2,"Henry George Alfred Marius Victor Francis Herbert, 6th earl of Carnarvon, 1898 - 1987 (London, England)",1912,"London, united kingdom",London; UK,51.5113509,-0.1257583,Unknown
3,"Captain Desmond Coke (London, England) [sold, Captain Desmond Cake Sale, Christie's, London, November 22, 1929, lot 60.]",1929,London,London; UK,51.4953509,-0.1117583,1929
4,"Captain Desmond Coke (London, England) [sold, Captain Desmond Cake Sale, Christie's, London, November 22, 1929, lot 60.]",1929,London,London; UK,51.5253509,-0.1117583,1929
5,"Private Collection [sold, Sotheby's, London, December 19, 1945, lot 70.]",1945,"London, united kingdom",London; UK,51.5033509,-0.1077583,1945
6,"Major Leonard Dent (Hillfields, Burleigh) [sold, Major Leonard Dent Sale, Christie's, London, July 10, 1984, lot 16.]",1984,"London, united kingdom",London; UK,51.4953509,-0.1177583,1984
7,"Private Dealer (Boston, MA, USA), sold to the J. Paul Getty Museum, 1984.",1984,"Boston, united kingdom",Boston PE21; UK,52.97894,-0.026577,1984
8,Getty Museum collections,1984,The Getty Museum,The Getty Museum; LA; US,34.0789066655244,-118.473923738619,1984
